Деловойцентр;Александровский сад;Охотный ряд;Спортивная;ВДНХ;Краснопресненская;Тверская;Белорусская;Театральная;Пушкинская;Кропоткинская;Улица 1905 года;Бауманская;Трубная;Площадь революции;Баррикадная;Киевская
Деловойцентр;1;0.25;0.25;0.25;0;0.75;0.5;0.5;0.25;0.5;0.25;0.75;0;0.25;0.25;0.5;0.75
Александровский сад;0.25;1;0.75;0.25;0.25;0.25;0.75;0.5;1;0.75;0.75;0.25;0.25;0.5;0.75;0.5;0.5
Охотный ряд;0.25;0.75;1;0.25;0.25;0.25;0.75;0.5;1;0.75;0.75;0.25;0.25;0.5;0.75;0.5;0.5
Спортивная;0.25;0.25;0.25;1;0;0.25;0.25;0.25;0.25;0.25;0.5;0.25;0;0.25;0.25;0.25;0.5
ВДНХ;0;0.25;0.25;0;1;0;0.25;0.25;0.25;0.25;0.25;0;0.5;0.25;0.25;0.25;0.25
Краснопресненская;0.75;0.25;0.25;0.25;0;1;0.5;0.75;0.25;0.5;0.25;0.75;0;0.25;0.25;0.75;0.5
Тверская;0.5;0.75;0.75;0.25;0.25;0.5;1;0.75;0.75;1;0.75;0.5;0.25;0.75;0.75;0.75;0.5
Белорусская;0.5;0.5;0.5;0.25;0.25;0.75;0.75;1;0.5;0.75;0.5;0.75;0.25;0.5;0.5;1;0.5
Театральная;0.25;1;1;0.25;0.25;0.25;0.75;0.5;1;0.75;0.75;0.25;0.25;0.5;1;0.5;0.5
Пушкинская;0.5;0.75;0.75;0.25;0.25;0.5;1;0.75;0.75;1;0.75;0.5;0.25;0.75;0.75;0.75;0.5
Кропоткинская;0.25;0.75;0.75;0.5;0.25;0.25;0.75;0.5;0.75;0.75;1;0.25;0.25;0.5;0.75;0.5;0.5
Улица 1905 года;0.75;0.25;0.25;0.25;0;0.75;0.5;0.75;0.25;0.5;0.25;1;0;0.25;0.25;0.75;0.5
Бауманская;0;0.25;0.25;0;0.5;0;0.25;0.25;0.25;0.25;0.25;0;1;0.25;0.25;0.25;0.25
Трубная;0.25;0.5;0.5;0.25;0.25;0.25;0.75;0.5;0.5;0.75;0.5;0.25;0.25;1;0.5;0.5;0.25
Площадь революции;0.25;0.75;0.75;0.25;0.25;0.25;0.75;0.5;1;0.75;0.75;0.25;0.25;0.5;1;0.5;0.5
Баррикадная;0.5;0.5;0.5;0.25;0.25;0.75;0.75;1;0.5;0.75;0.5;0.75;0.25;0.5;0.5;1;0.5
Киевская;0.75;0.5;0.5;0.5;0.25;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.25;0.25;0.5;0.5;1
