№;name;url_address;address;metro;phone_number;average_price;cuisine;photo
1;All day;allday.lucky-group.rest;Пресненская наб., 12, 123112, этаж 1;Деловой центр;+7 (495) 189-80-80;1500;Различная;1.jpg
2;Муфлон;mouflonrestaurant.ru;Староваганьковский пер., 19, стр. 7, 119019, этаж 1;Александровский сад;+7 (991) 888-99-99;2000;Армянская;2.jpg
3;Ave pasta!;hedonistgroup.ru;Брюсов пер., 8-10с1, 125009, этаж цокольный;Охотный ряд;+7 (495) 235-70-40;1500;Различная;3.jpg
4;Peach;peachrest.ru;Большой Саввинский пер., 12, стр. 10Г, 119435;Спортивная;+7 (495) 909-00-69;4000;Средиземноморская;4.jpg
5;Оттепель;ottepel-restoran.ru;просп. Мира, 119, стр. 311, 129223, ВДНХ, павильон 311;ВДНХ;+7 (495) 748-61-02;2000;Русская;5.jpg
6;Мишель;cafemichel.ru;ул. Красная Пресня, 13, 123242, этаж 1, 2;Краснопресненская;+7 (499) 252-50-44;1500;Cредиземноморская;6.jpg
7;Lou lou;msc.loulou.rest;Малая Бронная ул., 10, стр. 1, 123104;Тверская;+7 (915) 227-60-67;2000;Французская;7.jpg
8;Naomi bistro;taplink.cc;Лесная ул., 9, 125196;Белорусская;+7 (926) 771-88-80;1500;Итальянская;8.jpg
9;la bottega siciliana;bottega-siciliana.com;ул. Охотный Ряд, 2, 103265, этаж 1;Театральная;+7 (495) 660-03-83;3000;Итальянская;9.jpg
10;Grand cru;grandcru.ru;Малая Бронная ул., 22, стр. 2, 123104, этаж 1;Пушкинская;+7 (495) 510-65-67;6000;Французская;10.jpg
11;Moro;novikovgroup.ru;ул. Большая Дмитровка, 5/6с3, 125009;Охотный ряд;+7 (916) 930-70-00;2000;Средиземноморская;11.jpg
12;Bagebi;bagebi.ru;ул. Пречистенка, 19/11с2, 119034, этаж 1;Кропоткинская;+7 (903) 799-19-34;2000;Грузинская;12.jpg
13;Kazbek;mykazbek.ru;ул. 1905 года, 2, 123022, этаж 2;Улица 1905 года;+7 (495) 651-81-00;2000;Грузинская;13.jpg
14;Kalabasa;kalabasa.ru;наб. Академика Туполева, 15, корп. 26, 105005, этаж 1;Бауманская;+7 (926) 308-33-38;1500;Кафе;14.jpg
15;Didi;didirestaurant.ru;Тверской бул., 14, стр. 4, 125009;Пушкинская;+7 (930) 035-75-80;2000;Грузинская;15.jpg
16;l’atelier petrovka;latelierpetrovka.com;ул. Петровка, 26, стр. 3, 127051;Трубная;+7 (499) 286-03-17;3000;Французская;16.jpg
17;Шаляпин;chaliapin.moscow;Театральный пр., 2, 109012;Площадь революции;+7 (495) 118-21-62;2500;Различная;17.jpg
18;Tutto bene;tuttobene.su;Пресненская наб., 8, стр. 1, 123317, этаж 1;Деловой центр;+7 (499) 938-46-19;2000;Итальянская;18.jpg
19;Uhvat;uhvat.restaurant;Рочдельская ул., 15, стр. 41, 123022;Улица 1905 года;+7 (977) 125-51-77;2000;Русская;19.jpg
20;bro&n pizzeria;novikovgroup.ru;Камергерский пер., 6/5с3, 125009, этаж 1;Охотный ряд;+7 (909) 650-52-25;2000;Итальянская;20.jpg
21;Myst;myst.rest;1-я Брестская ул., 41, 125047, этаж 1;Белорусская;+7 (963) 999-41-41;2000;Различная;21.jpg
22;Moloko;cafemoloko.ru;ул. Большая Дмитровка, 7/5с5, 125009;Охотный ряд;+7 (495) 692-03-09;1500;Европейская;22.jpg
23;Скворец;skvorets.clients.site.ru;Малая Бронная ул., 4, 123104, подъезд 1;Тверская;+7 (916) 578-77-09;1500;Кафе;23.jpg
24;Кафе Пушкинъ;cafe-pushkin.ru;Тверской бул., 26А, 125009;Пушкинская;+7 (495) 739-00-33;1500;Кафе;24.jpg
25;Pinch;pinchmoscow.ru;Большой Палашёвский пер., 2/12, 123104, этаж 1;Пушкинская;+7 (495) 691-99-88;2000;Кафе;25.jpg
26;Narnia;narnia.rest;Большая Бронная ул., 2/6, 123104;Тверская;+7 (495) 513-13-27;1500;Азиатская;26.jpg
27;Mina;www.probka.org;Малая Никитская ул., 16/5, 121069;Баррикадная;+7 (499) 390-50-90;1500;Итальянская;27.jpg
28;Живаго;drzhivago.ru;Моховая ул., 15/1, 125009, этаж 1;Охотный ряд;+7 (499) 922-01-00;1500;Русская;28.jpg
29;Mastersuit cafe;mastersuitcafe.ru;ул. Пречистенка, 13, 119034, этаж 1;Кропотнинская;+7 (929) 506-62-11;1500;Кафе;29.jpg
30;Buono;buonomoscow.ru;Кутузовский просп., 2/1с1, 121248, этаж 29, 30;Киевская;+7 (495) 477-49-08;4000;Итальянская;30.jpg
